Rank,Candidate Name,Skill Score,Education Score,Experience Score,Overall Score,Reasoning
1,"Diya Reddy",100.00,19.44,0.00,53.89,"Candidate Diya Reddy has a skill match of 100.0%, education match of 19.4%, and experience match of 0.0%. Overall relevance score is 53.9%."
2,"Aarav Sharma",76.53,25.70,23.59,50.48,"Candidate Aarav Sharma has a skill match of 76.5%, education match of 25.7%, and experience match of 23.6%. Overall relevance score is 50.5%."
3,"Priya Menon",76.53,21.92,0.00,42.65,"Candidate Priya Menon has a skill match of 76.5%, education match of 21.9%, and experience match of 0.0%. Overall relevance score is 42.7%."
4,"Ananya Rao",48.66,25.70,25.70,37.18,"Candidate Ananya Rao has a skill match of 48.7%, education match of 25.7%, and experience match of 25.7%. Overall relevance score is 37.2%."
5,"Sneha Patel",46.17,25.70,21.92,34.80,"Candidate Sneha Patel has a skill match of 46.2%, education match of 25.7%, and experience match of 21.9%. Overall relevance score is 34.8%."
6,"Vikram Singh",59.14,25.70,0.00,34.71,"Candidate Vikram Singh has a skill match of 59.1%, education match of 25.7%, and experience match of 0.0%. Overall relevance score is 34.7%."
7,"Karthik Shetty",51.47,19.44,0.00,29.62,"Candidate Karthik Shetty has a skill match of 51.5%, education match of 19.4%, and experience match of 0.0%. Overall relevance score is 29.6%."
8,"Meera Nair",37.07,19.44,21.92,29.00,"Candidate Meera Nair has a skill match of 37.1%, education match of 19.4%, and experience match of 21.9%. Overall relevance score is 29.0%."
9,"Rohan Kumar",41.70,21.92,0.00,25.24,"Candidate Rohan Kumar has a skill match of 41.7%, education match of 21.9%, and experience match of 0.0%. Overall relevance score is 25.2%."
10,"Rahul Verma",24.62,21.92,0.00,16.70,"Candidate Rahul Verma has a skill match of 24.6%, education match of 21.9%, and experience match of 0.0%. Overall relevance score is 16.7%."
